entry	product	length	accession	identity	coverage	ortholog_source	tier	uniprot_name	uniprot_gene	uniprot_reviewed	annotation_class
STMMW_01661	conserved hypothetical protein	120	Q8ZRS6	100.0	100.0	02_blast_hits	strong_ortholog	UPF0231 protein YacL	yacL STM0160	reviewed	CHARACTERIZED_reviewed
STMMW_01681	conserved hypothetical protein	423	Q8ZRS5	100.0	100.0	02_blast_hits	strong_ortholog	D-threonate kinase (EC 2.7.1.219)	dtnK STM0162	reviewed	CHARACTERIZED_reviewed
STMMW_01781	hypothetical ABC transporter ATP-binding protein	308	Q8ZRR9	100.0	100.0	02_blast_hits	strong_ortholog	ABC-type multidrug transport system, ATPase component	yadG STM0172	unreviewed	NAMED_function_unreviewed
STMMW_02101	conserved hypothetical protein	129	Q7CR66	100.0	88.4	02_blast_hits	strong_ortholog	Iron-sulfur cluster insertion protein ErpA	erpA STM0204	reviewed	CHARACTERIZED_reviewed
STMMW_02161	conserved hypothetical protein	385	Q8ZRP6	100.0	100.0	02_blast_hits	strong_ortholog	Inner membrane protein	cdaR STM0210	unreviewed	GENERIC_localization_only
STMMW_02171	conserved hypothetical protein	128	Q7CR64	100.0	100.0	02_blast_hits	strong_ortholog	UPF0325 protein YaeH	yaeH STM0211	reviewed	CHARACTERIZED_reviewed
STMMW_02411	conserved hypothetical protein	129	Q8ZRN6	100.0	100.0	02_blast_hits	strong_ortholog	Lactoylglutathione lyase	yaeR STM0235	unreviewed	NAMED_function_unreviewed
STMMW_02441	conserved hypothetical protein	72	P67551	98.5	91.7	02_blast_hits	strong_ortholog	UPF0253 protein YaeP	yaeP STM0238	reviewed	CHARACTERIZED_reviewed
STMMW_02451	conserved hypothetical protein	181	P0A1S6	100.0	100.0	02_blast_hits	strong_ortholog	Uncharacterized protein YaeQ	yaeQ STM0239	reviewed	TRULY_UNCHARACTERIZED
STMMW_02491	conserved hypothetical protein	235	Q8ZRN2	100.0	100.0	02_blast_hits	strong_ortholog	tRNA (adenine(37)-N6)-methyltransferase (tRNA (m6t6A37) methyltransferase) (tRNA methyltransferase O)	yaeB STM0243	unreviewed	NAMED_function_unreviewed
STMMW_02541	hypothetical oxidoreductase	267	Q8ZRM7	99.6	100.0	02_blast_hits	strong_ortholog	Methylglyoxal reductase DkgB (EC 1.1.1.-)	dkgB STM0255	reviewed	CHARACTERIZED_reviewed
STMMW_02551	hypothetical transcriptional regulator	304	Q8ZRM6	99.7	100.0	02_blast_hits	strong_ortholog	LysR family transcriptional regulator	yafC STM0256	unreviewed	NAMED_function_unreviewed
STMMW_02571	conserved hypothetical protein	259	Q8ZRM4	100.0	100.0	02_blast_hits	strong_ortholog	UPF0294 protein YafD	yafD STM0258	reviewed	CHARACTERIZED_reviewed
STMMW_02611	conserved hypothetical protein	240	Q8ZRM1	99.6	100.0	02_blast_hits	strong_ortholog	SAM-dependent methyltransferase	yafS STM0262	unreviewed	NAMED_function_unreviewed
STMMW_02641	conserved hypothetical pathogenicity islandprotein	351	Q93IT5	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	STM0266	unreviewed	GENERIC_localization_only
STMMW_02701	conserved hypothetical protein	300	Q93IT0	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	STM0271	unreviewed	GENERIC_localization_only
STMMW_02811	conserved hypothetical protein	161	Q93IS4	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	STM0277	unreviewed	GENERIC_localization_only
STMMW_02911	conserved hypothetical protein	262	Q93IR6	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	STM0286	unreviewed	GENERIC_localization_only
STMMW_02921	conserved hypothetical periplasmic protein	138	Q93IR5	100.0	100.0	02_blast_hits	strong_ortholog	Periplasmic protein	STM0287	unreviewed	GENERIC_localization_only
STMMW_02931	conserved hypothetical pathogenicity islandprotein	173	Q93IR4	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	STM0288	unreviewed	GENERIC_localization_only
STMMW_02951	conserved hypothetical protein	148	Q7CR57	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	STM0290	unreviewed	GENERIC_localization_only
STMMW_02971	conserved hypothetical protein	87	A0A0H3TET1	100.0	100.0	02_blast_hits_species	strong_ortholog	Uncharacterized protein	AAB27_16245 AU613_26795 B1P38_21655 CE70_17375 CFF59_23420 DD95_17770 DMO92_25405 DPF41_22985 DPS76_24805 DU071_23735 E0935_15085 EER35_24745 F3R12_08905 FGZ46_23375 G0A58_24565 GBV53_19000	unreviewed	TRULY_UNCHARACTERIZED
STMMW_02991	conserved hypothetical cytoplasmic protein	148	Q93IQ9	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	STM0293	unreviewed	GENERIC_localization_only
STMMW_03011	conserved hypothetical protein	43	A0A0F6AX97	100.0	100.0	02_blast_hits_species	strong_ortholog	Uncharacterized protein	STM14_0343	unreviewed	TRULY_UNCHARACTERIZED
STMMW_03041	hypothetical protein	91	Q8ZJY9	42.1	62.6	02_blast_hits	weak_ortholog	Endoribonuclease SymE (EC 3.1.-.-)	symE STM4523	reviewed	CHARACTERIZED_reviewed
STMMW_03051	conserved hypothetical pathogenicity islandprotein	102	Q8ZRK8	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	STM0295	unreviewed	GENERIC_localization_only
STMMW_03131	conserved hypothetical protein	273	Q8ZRK1	100.0	100.0	02_blast_hits	strong_ortholog	Xylanase/chitin deacetylase	ybeJ STM0303	unreviewed	NAMED_function_unreviewed
STMMW_03132	conserved hypothetical protein	71	A0A4Z0PG69	98.6	100.0	02_blast_hits_species	strong_ortholog	Transcriptional activator PerC	C9F07_06015	unreviewed	NAMED_function_unreviewed
STMMW_03161	conserved hypothetical protein	71	Q8ZRK0	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	STM0305	unreviewed	GENERIC_localization_only
STMMW_03221	conserved hypothetical protein	255	Q8ZRJ6	100.0	100.0	02_blast_hits	strong_ortholog	Glutamine amidotransferase	yafJ STM0311	unreviewed	NAMED_function_unreviewed
STMMW_03291	conserved hypothetical protein	414	P37722	100.0	100.0	02_blast_hits	strong_ortholog	Esterase FrsA (EC 3.1.1.1)	frsA STM0318	reviewed	CHARACTERIZED_reviewed
STMMW_03971	conserved hypothetical protein	107	Q8ZRJ2	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	STM0327	unreviewed	GENERIC_localization_only
STMMW_04041	conserved hypothetical protein	90	Q8ZRI5	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	STM0334	unreviewed	GENERIC_localization_only
STMMW_04291	hypothetical protein	33	Q7CR50	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	STM0359	unreviewed	GENERIC_localization_only
STMMW_04321	hypothetical protein	74	Q8ZRG1	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	STM0362	unreviewed	GENERIC_localization_only
STMMW_04441	conserved hypothetical protein	207	Q8ZRF7	100.0	100.0	02_blast_hits	strong_ortholog	Inhibitor of hydrogen peroxide resistance	iprA yaiV STM0374	reviewed	CHARACTERIZED_reviewed
STMMW_04511	hypothetical protein	237	Q8ZRF2	100.0	100.0	02_blast_hits	strong_ortholog	Inner membrane protein	STM0381	unreviewed	GENERIC_localization_only
STMMW_04531	conserved hypothetical protein	88	Q7CR46	100.0	97.7	02_blast_hits	strong_ortholog	Anti-adapter protein IraP	iraP STM0383	reviewed	CHARACTERIZED_reviewed
STMMW_04571	conserved hypothetical protein	151	P67334	100.0	100.0	02_blast_hits	strong_ortholog	UPF0178 protein YaiI	yaiI STM0387	reviewed	CHARACTERIZED_reviewed
STMMW_04591	conserved hypothetical protein	63	Q8ZRE9	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	yaiA STM0389	unreviewed	GENERIC_localization_only
STMMW_04611	conserved hypothetical protein	94	Q8ZRE7	100.0	100.0	02_blast_hits	strong_ortholog	Pyrimidine/purine nucleoside phosphorylase (EC 2.4.2.1) (EC 2.4.2.2) (Adenosine phosphorylase) (Cytidine phosphorylase) (Guanosine phosphorylase) (Inosine phosphorylase) (Thymidine phosphorylase) (Uridine phosphorylase) (Xanthosine phosphorylase)	ppnP STM0391	reviewed	CHARACTERIZED_reviewed
STMMW_04631	hypothetical ROK-family protein	302	Q8ZRE5	100.0	100.0	02_blast_hits	strong_ortholog	Sugar kinase/putative transcriptional regulator (NagC/XylR family)	yajF STM0393	unreviewed	NAMED_function_unreviewed
STMMW_04731	conserved hypothetical protein	193	Q7CR41	100.0	100.0	02_blast_hits	strong_ortholog	Acyl carrier protein phosphodiesterase (ACP phosphodiesterase) (EC 3.1.4.14)	acpH STM0403	reviewed	CHARACTERIZED_reviewed
STMMW_04791	conserved hypothetical protein	121	Q7CR38	100.0	100.0	02_blast_hits	strong_ortholog	VOC domain-containing protein	STM0409	unreviewed	NAMED_function_unreviewed
STMMW_04811	conserved hypothetical protein	115	P0A1S8	100.0	100.0	02_blast_hits	strong_ortholog	Putative HNH nuclease YajD (EC 3.1.-.-)	yajD STM0411	reviewed	CHARACTERIZED_reviewed
STMMW_04821	conserved hypothetical protein	108	Q7CR36	100.0	100.0	02_blast_hits	strong_ortholog	Inner membrane protein	STM0412	unreviewed	GENERIC_localization_only
STMMW_04851	conserved hypothetical protein	149	P0A2M1	100.0	100.0	02_blast_hits	strong_ortholog	Transcriptional repressor NrdR	nrdR STM0415	reviewed	CHARACTERIZED_reviewed
STMMW_05051	conserved hypothetical protein	169	Q8ZRC9	100.0	96.4	02_blast_hits	strong_ortholog	Cyclic di-GMP-binding protein YajQ	yajQ STM0435	reviewed	CHARACTERIZED_reviewed
STMMW_05091	conserved hypothetical protein	427	Q8ZRC5	99.8	100.0	02_blast_hits	strong_ortholog	TPR repeat protein	STM0438	unreviewed	NAMED_function_unreviewed
STMMW_05251	conserved hypothetical protein	132	Q7CR23	100.0	100.0	02_blast_hits	strong_ortholog	Esterase	ybaW STM0454	unreviewed	NAMED_function_unreviewed
STMMW_05261	conserved hypothetical protein	231	Q7CR22	100.0	100.0	02_blast_hits	strong_ortholog	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	queC STM0455	reviewed	CHARACTERIZED_reviewed
STMMW_05281	conserved hypothetical protein	272	Q8ZRB6	100.0	100.0	02_blast_hits	strong_ortholog	HMP-PP phosphatase (EC 3.6.1.-)	cof STM0457	reviewed	CHARACTERIZED_reviewed
STMMW_05301	hypothetical transcriptional regulator	152	Q7CR21	100.0	100.0	02_blast_hits	strong_ortholog	DNA-binding transcriptional activator DecR	ybaO STM0459	unreviewed	NAMED_function_unreviewed
STMMW_05361	conserved hypothetical lipoprotein	189	Q8ZRB1	100.0	100.0	02_blast_hits	strong_ortholog	Glycoprotein/polysaccharide metabolism	ybaY STM0465	unreviewed	NAMED_function_unreviewed
STMMW_05441	conserved hypothetical protein	124	Q7CR16	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	ybaJ STM0474	unreviewed	GENERIC_localization_only
STMMW_05491	conserved hypothetical protein	311	Q8ZRA4	100.0	100.0	02_blast_hits	strong_ortholog	Transposase	STM0479	unreviewed	NAMED_function_unreviewed
STMMW_05501	conserved hypothetical protein	55	Q7CR14	100.0	100.0	02_blast_hits	strong_ortholog	Inner membrane protein	ybaM STM0480	unreviewed	GENERIC_localization_only
STMMW_05551	conserved hypothetical protein	117	P0A8B8	100.0	93.2	02_blast_hits	strong_ortholog	Nucleoid-associated protein YbaB	ybaB STM0485	reviewed	CHARACTERIZED_reviewed
STMMW_05651	conserved hypothetical protein	159	P37174	100.0	100.0	02_blast_hits	strong_ortholog	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK (EC 4.2.-.-)	ybaK STM0495	reviewed	CHARACTERIZED_reviewed
STMMW_05661	conserved hypothetical protein	264	Q8ZR97	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	ybaP STM0496	unreviewed	GENERIC_localization_only
STMMW_05751	hypothetical oxidoreductase	256	Q7CR11	100.0	100.0	02_blast_hits	strong_ortholog	Oxidoreductase (EC 1.-.-.-)	ybbO STM0505	unreviewed	NAMED_function_unreviewed
STMMW_05771	hypothetical ABC transporter ATP-binding protein	228	Q7CR10	100.0	100.0	02_blast_hits	strong_ortholog	Uncharacterized ABC transporter ATP-binding protein YbbA	ybbA STM0507	unreviewed	NAMED_function_unreviewed
STMMW_05831	hypothetical ATP-binding protein	364	Q8ZR88	100.0	100.0	02_blast_hits	strong_ortholog	tRNA 2-selenouridine synthase (EC 2.9.1.3) (Selenophosphate-dependent tRNA 2-selenouridine synthase)	selU mnmH STM0513	reviewed	CHARACTERIZED_reviewed
STMMW_05841	hypothetical lysR-family transcriptionalregulator	308	Q9S4Y7	100.0	100.0	02_blast_hits	strong_ortholog	HTH-type transcriptional activator AllS	allS STM0514	reviewed	CHARACTERIZED_reviewed
STMMW_05981	conserved hypothetical protein	419	Q8ZR74	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	ylbE STM0530	unreviewed	GENERIC_localization_only
STMMW_05991	conserved hypothetical protein	269	Q8ZR73	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	ylbF STM0531	unreviewed	GENERIC_localization_only
STMMW_06031	conserved hypothetical protein	240	Q8ZR69	100.0	100.0	02_blast_hits	strong_ortholog	UDP-2,3-diacylglucosamine hydrolase (EC 3.6.1.54) (UDP-2,3-diacylglucosamine diphosphatase)	lpxH STM0535	reviewed	CHARACTERIZED_reviewed
STMMW_06091	conserved hypothetical protein	70	Q7CR06	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	ybcJ STM0541	unreviewed	GENERIC_localization_only
STMMW_06191	hypothetical protein	103	Q8ZR64	100.0	100.0	02_blast_hits	strong_ortholog	Probable cyclic di-GMP phosphodiesterase STM0551 (c-di-GMP PDE) (EC 3.1.4.52)	STM0551	reviewed	CHARACTERIZED_reviewed
STMMW_06281	hypothetical araC-family transcriptionalregulator	284	Q8ZR57	100.0	100.0	02_blast_hits	strong_ortholog	Transcriptional regulator (AraC/XylS family)	STM0563	unreviewed	NAMED_function_unreviewed
STMMW_06301	hypothetical secreted protein	78	Q7CR04	100.0	100.0	02_blast_hits	strong_ortholog	Periplasmic protein	STM0565	unreviewed	GENERIC_localization_only
STMMW_06321	conserved hypothetical protein	391	Q8ZR54	100.0	100.0	02_blast_hits	strong_ortholog	ATPase involved in DNA repair	STM0567	unreviewed	NAMED_function_unreviewed
STMMW_06441	conserved hypothetical protein	122	Q8ZR44	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	ybdF STM0579	unreviewed	GENERIC_localization_only
STMMW_06481	conserved hypothetical protein	372	Q8ZR41	100.0	100.0	02_blast_hits	strong_ortholog	Putative glutamate--cysteine ligase 2 (EC 6.3.2.2) (Gamma-glutamylcysteine synthetase 2) (GCS 2) (Gamma-GCS 2)	ybdK STM0583	reviewed	CHARACTERIZED_reviewed
STMMW_06521	conserved hypothetical protein	72	Q8ZR38	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	ybdZ STM0587	unreviewed	GENERIC_localization_only
STMMW_06581	hypothetical membrane protein p43	414	Q8ZR35	100.0	100.0	02_blast_hits	strong_ortholog	Enterobactin exporter EntS	entS STM0593	reviewed	CHARACTERIZED_reviewed
STMMW_06641	conserved hypothetical protein	137	Q8ZR29	100.0	100.0	02_blast_hits	strong_ortholog	Proofreading thioesterase EntH (EC 3.1.2.-) (Enterobactin synthase component H)	entH STM0599	reviewed	CHARACTERIZED_reviewed
STMMW_06661	conserved hypothetical protein	65	Q7CQZ8	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	ybdD STM0601	unreviewed	GENERIC_localization_only
STMMW_06691	conserved hypothetical protein	205	Q8ZR25	100.0	100.0	02_blast_hits	strong_ortholog	Transcriptional regulator	ybdM STM0604	unreviewed	NAMED_function_unreviewed
STMMW_06701	conserved hypothetical protein	411	Q8ZR24	100.0	100.0	02_blast_hits	strong_ortholog	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase	ybdN STM0605	unreviewed	NAMED_function_unreviewed
STMMW_06751	conserved hypothetical protein	186	Q8ZR21	100.0	100.0	02_blast_hits	strong_ortholog	Component of anaerobic dehydrogenases	STM0610	unreviewed	NAMED_function_unreviewed
STMMW_06791	conserved hypothetical protein	142	P67093	100.0	100.0	02_blast_hits	strong_ortholog	Universal stress protein G	uspG STM0614	reviewed	CHARACTERIZED_reviewed
STMMW_06801	hypothetical zinc-dependant alcoholdehydrogenase	412	Q8ZR17	100.0	100.0	02_blast_hits	strong_ortholog	Dehydrogenase	ybdR STM0615	unreviewed	NAMED_function_unreviewed
STMMW_07011	conserved hypothetical protein	87	P67537	100.0	100.0	02_blast_hits	strong_ortholog	UPF0250 protein YbeD	ybeD STM0636	reviewed	CHARACTERIZED_reviewed
STMMW_07061	conserved hypothetical protein	155	P67520	100.0	100.0	02_blast_hits	strong_ortholog	Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177) (23S rRNA (pseudouridine1915-N3)-methyltransferase) (23S rRNA m3Psi1915 methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase RlmH)	rlmH STM0641	reviewed	CHARACTERIZED_reviewed
STMMW_07071	conserved hypothetical protein	105	Q7CQZ2	100.0	100.0	02_blast_hits	strong_ortholog	Ribosomal silencing factor RsfS	ybeB rsfS STM0642	unreviewed	NAMED_function_unreviewed
STMMW_07101	conserved hypothetical protein	213	Q8ZQZ8	100.0	100.0	02_blast_hits	strong_ortholog	Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase)	nadD STM0645	reviewed	CHARACTERIZED_reviewed
STMMW_07181	conserved hypothetical protein	157	Q8ZQZ2	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	ybeL STM0653	unreviewed	GENERIC_localization_only
STMMW_07191	conserved hypothetical protein	331	Q8ZQZ1	100.0	100.0	02_blast_hits	strong_ortholog	TPR repeat protein	ybeQ STM0654	unreviewed	NAMED_function_unreviewed
STMMW_07201	conserved hypothetical protein	235	Q8ZQZ0	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	ybeR STM0655	unreviewed	GENERIC_localization_only
STMMW_07251	putative conserved hypothetical protein	412	Q8ZQY5	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	STM0660	unreviewed	GENERIC_localization_only
STMMW_07331	conserved hypothetical protein	157	O87574	100.0	100.0	02_blast_hits	strong_ortholog	Endoribonuclease YbeY (EC 3.1.-.-)	ybeY STM0668	reviewed	CHARACTERIZED_reviewed
STMMW_07491	conserved hypothetical protein	467	Q8ZQX3	100.0	100.0	02_blast_hits	strong_ortholog	Tricarballylate dehydrogenase (EC 1.3.8.-)	tcuA STM0691	reviewed	CHARACTERIZED_reviewed
STMMW_07531	conserved hypothetical protein	93	Q7CQY2	100.0	100.0	02_blast_hits	strong_ortholog	LexA regulated, putative SOS response	ybfE STM0695	unreviewed	NAMED_function_unreviewed
STMMW_07681	conserved hypothetical protein	247	P67270	100.0	100.0	02_blast_hits	strong_ortholog	NIF3-like metal-binding protein YbgI	ybgI STM0711	reviewed	CHARACTERIZED_reviewed
STMMW_07691	conserved hypothetical protein	218	Q8ZQV8	100.0	100.0	02_blast_hits	strong_ortholog	Carboxylase	ybgJ STM0712	unreviewed	NAMED_function_unreviewed
STMMW_07701	conserved hypothetical protein	310	Q8ZQV7	100.0	100.0	02_blast_hits	strong_ortholog	Carboxylase	ybgK STM0713	unreviewed	NAMED_function_unreviewed
STMMW_07711	conserved hypothetical protein	244	Q8ZQV6	100.0	100.0	02_blast_hits	strong_ortholog	5-oxoprolinase subunit A (5-OPase subunit A) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit A)	pxpA ybgL STM0714	reviewed	CHARACTERIZED_reviewed
STMMW_08011	conserved hypothetical protein	134	Q8ZQT7	100.0	100.0	02_blast_hits	strong_ortholog	4-hydroxybenzoyl-CoA thioesterase (EC 3.1.2.23)	ybgC STM0744	unreviewed	NAMED_function_unreviewed
STMMW_08211	conserved hypothetical protein	232	Q8ZQS5	99.6	100.0	02_blast_hits	strong_ortholog	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase (EC 2.4.2.52)	STM0769	unreviewed	NAMED_function_unreviewed
STMMW_08361	conserved hypothetical protein	272	Q8ZQR5	100.0	100.0	02_blast_hits	strong_ortholog	Hydrolase of the HAD superfamily	ybhA STM0784	unreviewed	NAMED_function_unreviewed
STMMW_08371	conserved hypothetical protein	331	Q8ZQR4	100.0	100.0	02_blast_hits	strong_ortholog	6-phosphogluconolactonase (6-P-gluconolactonase) (EC 3.1.1.31)	pgl STM0785	reviewed	CHARACTERIZED_reviewed
STMMW_08441	conserved hypothetical protein	158	Q8ZQQ8	100.0	100.0	02_blast_hits	strong_ortholog	Phospholipid-binding protein	ybhB STM0792	unreviewed	NAMED_function_unreviewed
STMMW_08531	conserved hypothetical protein	302	P58586	100.0	100.0	02_blast_hits	strong_ortholog	Putative gluconeogenesis factor	ybhK STM0801	reviewed	CHARACTERIZED_reviewed
STMMW_08651	conserved hypothetical protein	252	Q8ZQP3	100.0	100.0	02_blast_hits	strong_ortholog	Uncharacterized protein YbhP	ybhP STM0813	unreviewed	TRULY_UNCHARACTERIZED
STMMW_08691	hypothetical ABC transporter ATP-binding protein	578	Q8ZQP1	100.0	100.0	02_blast_hits	strong_ortholog	Probable multidrug ABC transporter ATP-binding protein YbhF	ybhF STM0817	unreviewed	NAMED_function_unreviewed
STMMW_08711	hypothetical tetR-family transcriptionalregulator	224	Q8ZQN9	100.0	100.0	02_blast_hits	strong_ortholog	Transcriptional repressor (TetR/AcrR family)	ybiH STM0819	unreviewed	NAMED_function_unreviewed
STMMW_08761	hypothetical Zinc-finger containing protein	88	Q8ZQN5	100.0	100.0	02_blast_hits	strong_ortholog	DnaK suppressor protein	ybiI STM0825	unreviewed	NAMED_function_unreviewed
STMMW_08771	conserved hypothetical protein	308	Q8ZQN4	100.0	100.0	02_blast_hits	strong_ortholog	Ribosomal RNA large subunit methyltransferase F (EC 2.1.1.181) (23S rRNA mA1618 methyltransferase) (rRNA adenine N-6-methyltransferase)	rlmF STM0826	reviewed	CHARACTERIZED_reviewed
STMMW_08901	conserved hypothetical protein	247	Q8ZQM9	100.0	100.0	02_blast_hits	strong_ortholog	Inner membrane protein	STM0839	unreviewed	GENERIC_localization_only
STMMW_08911	conserved hypothetical protein	176	Q8ZQM8	99.4	100.0	02_blast_hits	strong_ortholog	Hydrolase of the HAD superfamily	ybiV(2) STM0840	unreviewed	NAMED_function_unreviewed
STMMW_08921	conserved hypothetical protein	421	Q8ZQM7	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	ybiU STM0841	unreviewed	GENERIC_localization_only
STMMW_08931	conserved hypothetical protein	269	Q7CQV6	99.6	100.0	02_blast_hits	strong_ortholog	Hydrolase of the HAD superfamily	ybiV(1) STM0842	unreviewed	NAMED_function_unreviewed
STMMW_08991	hypothetical ABC transporter ATP-binding protein	623	Q8ZQM4	100.0	100.0	02_blast_hits	strong_ortholog	Glutathione import ATP-binding protein GsiA (EC 7.4.2.10)	gsiA STM0848	reviewed	CHARACTERIZED_reviewed
STMMW_09011	hypothetical ABC transporter permease protein	306	Q8ZQM2	100.0	100.0	02_blast_hits	strong_ortholog	Glutathione transport system permease protein GsiC	gsiC STM0850	reviewed	CHARACTERIZED_reviewed
STMMW_09021	hypothetical ABC transporter permease protein	303	Q7CQV4	100.0	100.0	02_blast_hits	strong_ortholog	Glutathione transport system permease protein GsiD	gsiD STM0851	reviewed	CHARACTERIZED_reviewed
STMMW_09031	conserved hypothetical protein	441	Q8ZQM1	100.0	100.0	02_blast_hits	strong_ortholog	Ribosomal protein uS12 methylthiotransferase RimO (uS12 MTTase) (uS12 methylthiotransferase) (EC 2.8.4.4) (Ribosomal protein uS12 (aspartate-C(3))-methylthiotransferase) (Ribosome maturation factor RimO)	rimO STM0852	reviewed	CHARACTERIZED_reviewed
STMMW_09041	conserved hypothetical protein	127	Q7CQV3	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	yliH STM0853	unreviewed	GENERIC_localization_only
STMMW_09051	conserved hypothetical protein	171	Q8ZQM0	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	STM0854	unreviewed	GENERIC_localization_only
STMMW_09181	conserved hypothetical protein	271	Q8ZQK7	100.0	100.0	02_blast_hits	strong_ortholog	Hydrolase	STM0867	unreviewed	NAMED_function_unreviewed
STMMW_09271	conserved hypothetical protein	158	Q8ZQK1	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	ybjN STM0876	unreviewed	GENERIC_localization_only
