entry	product	length	accession	identity	coverage	ortholog_source	tier	uniprot_name	uniprot_gene	uniprot_reviewed	annotation_class
A1S_0178	hypothetical protein	193	A0ABX6CAV3	100.0	83.9	02_blast_hits	strong_ortholog	Transglycosylase SLT domain-containing protein	FQU82_00264	unreviewed	NAMED_function_unreviewed
A1S_0182	hypothetical protein	419	A0A0D5YN56	99.0	100.0	02_blast_hits	strong_ortholog	Glyceropghosphoryl diester phosphodiesterase	ABUW_3704	unreviewed	NAMED_function_unreviewed
A1S_0183	hypothetical protein	792	A0ABX6CAX9	100.0	100.0	02_blast_hits	strong_ortholog	Radical SAM core domain-containing protein	FQU82_00269	unreviewed	NAMED_function_unreviewed
A1S_0184	hypothetical protein	166	V5VHD4	98.8	100.0	02_blast_hits	strong_ortholog	DUF2726 domain-containing protein	ABUW_3702	unreviewed	NAMED_function_unreviewed
A1S_0185	hypothetical protein	117	A0A7U4DF85	100.0	100.0	02_blast_hits	strong_ortholog	RidA family protein	AB57_0222	unreviewed	NAMED_function_unreviewed
A1S_3489	hypothetical protein	35	A0A0D5YM17	100.0	100.0	02_blast_hits	strong_ortholog	Uncharacterized protein	ABUW_3700	unreviewed	TRULY_UNCHARACTERIZED
A1S_0189	hypothetical protein	207	V5VHC7	100.0	100.0	02_blast_hits	strong_ortholog	Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1)	ABUW_3696	unreviewed	NAMED_function_unreviewed
A1S_0191	hypothetical protein	155	A0A7U4DF91	98.1	100.0	02_blast_hits	strong_ortholog	SEC-C motif-containing protein	AB57_0229	unreviewed	NAMED_function_unreviewed
A1S_0203	hypothetical protein	294	A0ABX6CCV4	92.2	100.0	02_blast_hits	strong_ortholog	4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)	dapA_1 FQU82_00287	unreviewed	NAMED_function_unreviewed
A1S_0204	hypothetical protein	258	V5VHL0	99.2	100.0	02_blast_hits	strong_ortholog	Class II aldolase/adducin domain protein	ABUW_3681	unreviewed	NAMED_function_unreviewed
A1S_0205	hypothetical protein	470	A0ABX6CAZ3	98.9	100.0	02_blast_hits	strong_ortholog	HTH-type transcriptional regulatory protein GabR	gabR_1 FQU82_00289	unreviewed	NAMED_function_unreviewed
A1S_0207	hypothetical protein	150	K4P7F5	100.0	94.7	02_blast_hits	strong_ortholog	Heteromeric transposase endonuclease subunit TnsA (TniC) (Transposase protein A)	tniC CBE85_18080 EJ062_01085 F2P40_20015 G3N53_17000 IAG11_05495 J6E47_18360 SAMEA104305318_03748	unreviewed	NAMED_function_unreviewed
A1S_0208	hypothetical protein	320	F1JZR6	98.4	100.0	02_blast_hits	strong_ortholog	Transposase		unreviewed	NAMED_function_unreviewed
A1S_0212	hypothetical protein	371	G3K3T6	100.0	100.0	02_blast_hits	strong_ortholog	TniD (Transposition protein)	tniD	unreviewed	NAMED_function_unreviewed
A1S_0213	hypothetical protein	304	G3K3T7	100.0	100.0	02_blast_hits	strong_ortholog	TniE	tniE	unreviewed	NAMED_function_unreviewed
A1S_3490	hypothetical protein	123	C9D9L3	100.0	100.0	02_blast_hits	strong_ortholog	Hypothetical transposition protein (ORF)	AB57_0559 AUO97_06130 AUO97_08510 B9W25_18170 CBE85_18055 EJ062_01110 F2P40_20040 FJU42_19540 FPK63_11895 FPK87_13355 FQZ18_18075 G3N53_17025 IAG11_05470 J6E47_18335 J6E47_20840 MKP18_004002 MKP18_004003 SAMEA104305318_03753	unreviewed	NAMED_function_unreviewed
A1S_3491	hypothetical protein	598	E7EII9	100.0	100.0	02_blast_hits	strong_ortholog	ORF4	orf4 AB57_0548 AUO97_06110 AUO97_08530 B9W25_13580 CBE85_16710 EA686_04780 EJ062_10010 F2P40_16700 FJU42_19520 FPK87_13375 FQZ18_18055 G3N53_15115 IAG11_05450 J6E47_18285 LV35_04012 MKP18_004006 MKP18_004007 SAMEA104305318_02493	unreviewed	NAMED_function_unreviewed
A1S_0217	hypothetical protein	75	V5VIZ9	100.0	100.0	02_blast_hits	strong_ortholog	Uncharacterized protein	ABUW_3656	unreviewed	TRULY_UNCHARACTERIZED
A1S_0221	hypothetical protein	361	A0A7U3Y418	97.5	100.0	02_blast_hits	strong_ortholog	Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]	AB57_0312	unreviewed	NAMED_function_unreviewed
A1S_0224	hypothetical protein	72	V5VHK5	100.0	100.0	02_blast_hits	strong_ortholog	Uncharacterized protein	ABUW_3649	unreviewed	TRULY_UNCHARACTERIZED
A1S_0225	hypothetical protein	211	A0ABX6CB16	100.0	100.0	02_blast_hits	strong_ortholog	ATPase	FQU82_00299	unreviewed	NAMED_function_unreviewed
A1S_0244	hypothetical protein	83	V5VIX9	100.0	100.0	02_blast_hits	strong_ortholog	Uncharacterized protein	ABUW_3631	unreviewed	TRULY_UNCHARACTERIZED
A1S_0252	hypothetical protein	351	A0A7U3Y457	97.7	100.0	02_blast_hits	strong_ortholog	Uncharacterized protein	AB57_0341	unreviewed	TRULY_UNCHARACTERIZED
A1S_0257	hypothetical protein	89	V5VH75	100.0	100.0	02_blast_hits	strong_ortholog	Probable Fe(2+)-trafficking protein	ABUW_3618	unreviewed	NAMED_function_unreviewed
A1S_0264	hypothetical protein	169	A0A7U3Y4B1	100.0	97.6	02_blast_hits	strong_ortholog	Uroporphyrinogen-III C-methyltransferase	AB57_0352	unreviewed	NAMED_function_unreviewed
A1S_0265	hypothetical protein	72	A0A7U3Y4B1	98.6	100.0	02_blast_hits	strong_ortholog	Uroporphyrinogen-III C-methyltransferase	AB57_0352	unreviewed	NAMED_function_unreviewed
A1S_0272	hypothetical protein	209	A0ABX6CB56	99.5	100.0	02_blast_hits	strong_ortholog	FHA domain-containing protein	FQU82_00342	unreviewed	NAMED_function_unreviewed
A1S_3492	hypothetical protein	121	V5VH81	99.2	100.0	02_blast_hits	strong_ortholog	Lipoprotein, putative	ABUW_3588	unreviewed	NAMED_function_unreviewed
A1S_3493	hypothetical protein	102	V5VIU6	100.0	100.0	02_blast_hits	strong_ortholog	Uncharacterized protein	ABUW_3587	unreviewed	TRULY_UNCHARACTERIZED
A1S_0289	hypothetical protein	165	V5VHN0	99.4	100.0	02_blast_hits	strong_ortholog	Uncharacterized protein	ABUW_3586	unreviewed	TRULY_UNCHARACTERIZED
A1S_0290	hypothetical protein	290	A0A7U3Y4C5	98.6	100.0	02_blast_hits	strong_ortholog	Alpha/beta hydrolase	AB57_0374	unreviewed	NAMED_function_unreviewed
A1S_0296	hypothetical protein	215	A0A7U3Y468	98.1	100.0	02_blast_hits	strong_ortholog	Selenocysteine synthase	AB57_0379	unreviewed	NAMED_function_unreviewed
A1S_0297	hypothetical protein	379	A0A7U4DFG3	99.7	100.0	02_blast_hits	strong_ortholog	Selenocysteine synthase	AB57_0380	unreviewed	NAMED_function_unreviewed
A1S_0299	hypothetical protein	252	A0ABX6CB72	99.6	100.0	02_blast_hits	strong_ortholog	Uncharacterized protein	FQU82_00370	unreviewed	TRULY_UNCHARACTERIZED
A1S_0301	hypothetical protein	185	A0A7U3Y4B0	98.4	100.0	02_blast_hits	strong_ortholog	Signal peptide-containing protein	AB57_0384	unreviewed	NAMED_function_unreviewed
A1S_0302	hypothetical protein	238					no_ortholog				NO_ORTHOLOG
A1S_0304	hypothetical protein	992					no_ortholog				NO_ORTHOLOG
A1S_0309	hypothetical protein	176	A0A7U3Y459	100.0	100.0	02_blast_hits	strong_ortholog	CHAP domain-containing protein	AB57_0390	unreviewed	NAMED_function_unreviewed
A1S_3494	hypothetical protein	31					no_ortholog				NO_ORTHOLOG
A1S_3495	hypothetical protein	68	V5VHD0	100.0	100.0	02_blast_hits	strong_ortholog	Uncharacterized protein	ABUW_3561	unreviewed	TRULY_UNCHARACTERIZED
A1S_0319	hypothetical protein	146	V5VH49	100.0	100.0	02_blast_hits	strong_ortholog	Putative pre-16S rRNA nuclease (EC 3.1.-.-)	ABUW_3559	unreviewed	NAMED_function_unreviewed
A1S_0320	hypothetical protein	179	B7I3Q5	100.0	100.0	02_blast_hits	strong_ortholog	UPF0301 protein AB57_0401	AB57_0401	reviewed	CHARACTERIZED_reviewed
A1S_0322	hypothetical protein	436	A0ABX6CBA7	99.3	100.0	02_blast_hits	strong_ortholog	Tetratricopeptide repeat protein	FQU82_00392	unreviewed	NAMED_function_unreviewed
A1S_0323	hypothetical protein	108	V5VH09	100.0	100.0	02_blast_hits	strong_ortholog	Pyrimidine/purine nucleoside phosphorylase (EC 2.4.2.1) (EC 2.4.2.2) (Adenosine phosphorylase) (Cytidine phosphorylase) (Guanosine phosphorylase) (Inosine phosphorylase) (Thymidine phosphorylase) (Uridine phosphorylase) (Xanthosine phosphorylase)	ppnP ABUW_3555	unreviewed	NAMED_function_unreviewed
A1S_0334	hypothetical protein	174	V5VHB6	100.0	100.0	02_blast_hits	strong_ortholog	Ribosome maturation factor RimP	rimP ABUW_3543	unreviewed	NAMED_function_unreviewed
A1S_0346	hypothetical protein	257	V5VH18	98.8	100.0	02_blast_hits	strong_ortholog	Histidine biosynthesis bifunctional protein HisIE [Includes: Phosphoribosyl-AMP cyclohydrolase (PRA-CH) (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphatase (PRA-PH) (EC 3.6.1.31)]	hisIE hisI ABUW_3531	unreviewed	NAMED_function_unreviewed
A1S_0349	hypothetical protein	222	A0ABX6CBR0	100.0	100.0	02_blast_hits	strong_ortholog	Ubiquinone biosynthesis accessory factor UbiJ C-terminal conserved region domain-containing protein	FQU82_00419	unreviewed	NAMED_function_unreviewed
A1S_0351	hypothetical protein	235	A0A7U4DFD7	100.0	100.0	02_blast_hits	strong_ortholog	DUF8198 domain-containing protein	AB57_0430	unreviewed	NAMED_function_unreviewed
A1S_0353	hypothetical protein	168	A0ABX6CDJ5	99.4	100.0	02_blast_hits	strong_ortholog	DUF697 domain-containing protein	FQU82_00423	unreviewed	NAMED_function_unreviewed
A1S_0363	hypothetical protein	109	V5VH02	100.0	100.0	02_blast_hits	strong_ortholog	Uncharacterized protein	ABUW_3516	unreviewed	TRULY_UNCHARACTERIZED
A1S_0376	hypothetical protein	85	V5VHF8	100.0	100.0	02_blast_hits	strong_ortholog	Sulfurtransferase TusA	sirA ABUW_3504	unreviewed	NAMED_function_unreviewed
A1S_3496	hypothetical protein	126	A0A7U3Y4H6	99.2	100.0	02_blast_hits	strong_ortholog	Uncharacterized protein	AB57_0454	unreviewed	TRULY_UNCHARACTERIZED
A1S_0379	hypothetical protein	203	V5VGY5	99.5	100.0	02_blast_hits	strong_ortholog	Uncharacterized protein	ABUW_3501	unreviewed	TRULY_UNCHARACTERIZED
A1S_0381	hypothetical protein	334	A0A7U4DFF1	99.4	100.0	02_blast_hits	strong_ortholog	DUF4062 domain-containing protein	AB57_0459	unreviewed	NAMED_function_unreviewed
A1S_0383	hypothetical protein	214	A0ABX6CBU0	100.0	100.0	02_blast_hits	strong_ortholog	Hydroxyacylglutathione hydrolase GloC (EC 3.1.2.6)	gloC FQU82_00449	unreviewed	NAMED_function_unreviewed
A1S_0388	hypothetical protein	136	A0ABX6CDN1	100.0	100.0	02_blast_hits	strong_ortholog	CENP-V/GFA domain-containing protein	FQU82_00453	unreviewed	NAMED_function_unreviewed
A1S_0389	hypothetical protein	126	A3M1Q4	100.0	100.0	02_blast_hits	strong_ortholog	Fluoride-specific ion channel FluC	fluC crcB A1S_0389	reviewed	CHARACTERIZED_reviewed
A1S_0419	hypothetical protein	169	A0ABX6CBK6	99.4	100.0	02_blast_hits	strong_ortholog	Lipoprotein	FQU82_00486	unreviewed	NAMED_function_unreviewed
A1S_0425	hypothetical protein	419	A0ABX6CBK8	97.6	100.0	02_blast_hits	strong_ortholog	Type IV pili machinery localization factor FimV N-terminal TPR region domain-containing protein	FQU82_00494	unreviewed	NAMED_function_unreviewed
A1S_0426	hypothetical protein	454	A0ABX6CBK2	97.4	100.0	02_blast_hits	strong_ortholog	FimV N-terminal domain-containing protein	FQU82_00495	unreviewed	NAMED_function_unreviewed
A1S_0434	hypothetical protein	81	V5VH99	100.0	100.0	02_blast_hits	strong_ortholog	SlyX superfamily	ABUW_3444	unreviewed	NAMED_function_unreviewed
A1S_0435	hypothetical protein	76					no_ortholog				NO_ORTHOLOG
A1S_0437	hypothetical protein	125	V5VGP8	100.0	100.0	02_blast_hits	strong_ortholog	Transcriptional regulatory protein	ABUW_3442	unreviewed	NAMED_function_unreviewed
A1S_0438	hypothetical protein	149	V5VGR9	100.0	100.0	02_blast_hits	strong_ortholog	Uncharacterized protein	ABUW_3441	unreviewed	TRULY_UNCHARACTERIZED
A1S_0440	hypothetical protein	252	A0ABX6CBM4	98.4	100.0	02_blast_hits	strong_ortholog	Uncharacterized protein	FQU82_00508	unreviewed	TRULY_UNCHARACTERIZED
A1S_3497	hypothetical protein	55	A0A7U4DFG8	98.1	98.2	02_blast_hits	strong_ortholog	RNA-binding protein	AB57_0526	unreviewed	NAMED_function_unreviewed
A1S_0444	hypothetical protein	177	V5VH88	100.0	100.0	02_blast_hits	strong_ortholog	Uncharacterized protein	ABUW_3434	unreviewed	TRULY_UNCHARACTERIZED
A1S_0445	hypothetical protein	92	V5VH06	100.0	100.0	02_blast_hits	strong_ortholog	Uncharacterized protein	ABUW_3433	unreviewed	TRULY_UNCHARACTERIZED
A1S_0452	hypothetical protein	251	A0A7U3Y4C7	99.6	100.0	02_blast_hits	strong_ortholog	TonB-dependent receptor	AB57_0535	unreviewed	NAMED_function_unreviewed
A1S_0461	hypothetical protein	259	A0ABX6CC32	99.6	100.0	02_blast_hits	strong_ortholog	Serine/threonine protein phosphatase	FQU82_00541	unreviewed	NAMED_function_unreviewed
A1S_0468	hypothetical protein	207	A3M1X9	100.0	100.0	02_blast_hits	strong_ortholog	dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	A1S_0468	reviewed	CHARACTERIZED_reviewed
A1S_0469	hypothetical protein	195	V5VGY2	100.0	100.0	02_blast_hits	strong_ortholog	Sel1 domain protein	ABUW_3408	unreviewed	NAMED_function_unreviewed
A1S_3498	hypothetical protein	31					no_ortholog				NO_ORTHOLOG
A1S_0484	hypothetical protein	206	A0ABX6CC34	100.0	100.0	02_blast_hits	strong_ortholog	2-dehydro-3-deoxy-phosphogluconate aldolase (EC 4.1.2.14)	eda FQU82_00564	unreviewed	NAMED_function_unreviewed
A1S_0491	hypothetical protein	280	A0A7U3Y4L8	98.9	100.0	02_blast_hits	strong_ortholog	Leucine carboxyl methyltransferase	AB57_0594	unreviewed	NAMED_function_unreviewed
A1S_0497	hypothetical protein	84	V5VGL3	92.1	75.0	02_blast_hits	strong_ortholog	Uncharacterized protein	ABUW_3382	unreviewed	TRULY_UNCHARACTERIZED
A1S_0501	hypothetical protein	263	V5VGI9	100.0	100.0	02_blast_hits	strong_ortholog	Cytoskeleton protein RodZ-like C-terminal domain-containing protein	ABUW_3378	unreviewed	NAMED_function_unreviewed
A1S_0504	hypothetical protein	232	V5VH33	100.0	100.0	02_blast_hits	strong_ortholog	Ancillary SecYEG translocon subunit	ABUW_3375	unreviewed	NAMED_function_unreviewed
A1S_0505	hypothetical protein	381	V5VGU9	100.0	100.0	02_blast_hits	strong_ortholog	Outer membrane protein assembly factor BamB	bamB ABUW_3374	unreviewed	NAMED_function_unreviewed
A1S_0507	hypothetical protein	204	A0ABF7PGN2	99.0	100.0	02_blast_hits	strong_ortholog	Beta-ketoacyl synthase-like N-terminal domain-containing protein	AB237_2962	unreviewed	NAMED_function_unreviewed
A1S_3499	hypothetical protein	36	A0A059ZUB2	97.2	100.0	02_blast_hits	strong_ortholog	Acyl carrier protein	AUO97_09975 B9W25_05110 CV954_017230 EJ062_03750 FPK63_00565 FPK87_00565 FQZ18_16550	unreviewed	NAMED_function_unreviewed
A1S_0512	hypothetical protein	552					no_ortholog				NO_ORTHOLOG
A1S_0514	hypothetical protein	308					no_ortholog				NO_ORTHOLOG
A1S_0516	hypothetical protein	142					no_ortholog				NO_ORTHOLOG
A1S_0517	hypothetical protein	126					no_ortholog				NO_ORTHOLOG
A1S_0518	hypothetical protein	209					no_ortholog				NO_ORTHOLOG
A1S_0521	hypothetical protein	181					no_ortholog				NO_ORTHOLOG
A1S_0522	hypothetical protein	400	A0ABF7PGP6	95.0	100.0	02_blast_hits	strong_ortholog	Beta-ketoacyl-acyl-carrier-protein synthase I (EC 2.3.1.41)	AB237_2951	unreviewed	NAMED_function_unreviewed
A1S_0524	hypothetical protein	241	A0ABX6CCK8	37.0	98.8	02_blast_hits	weak_ortholog	3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100)	fabG_2 FQU82_00822	unreviewed	NAMED_function_unreviewed
A1S_0525	hypothetical protein	408	A0A7U3XWE2	99.3	100.0	02_blast_hits	strong_ortholog	Beta-ketoacyl-acyl-carrier-protein synthase I (EC 2.3.1.41)	ACICU_00534	unreviewed	NAMED_function_unreviewed
A1S_0526	hypothetical protein	144					no_ortholog				NO_ORTHOLOG
A1S_0530	hypothetical protein	138	V5VGU3	100.0	100.0	02_blast_hits	strong_ortholog	Rhodanese domain protein	ABUW_3369	unreviewed	NAMED_function_unreviewed
A1S_3500	hypothetical protein	30					no_ortholog				NO_ORTHOLOG
A1S_3501	hypothetical protein	111	A0A7U3Y4R5	98.2	100.0	02_blast_hits	strong_ortholog	DUF4124 domain-containing protein	AB57_0623	unreviewed	NAMED_function_unreviewed
A1S_3502	hypothetical protein	42					no_ortholog				NO_ORTHOLOG
A1S_0549	hypothetical protein	287	A0A0D5YLG6	99.3	100.0	02_blast_hits	strong_ortholog	Heme oxygenase-like protein	ABUW_3351	unreviewed	NAMED_function_unreviewed
A1S_0551	hypothetical protein	529					no_ortholog				NO_ORTHOLOG
A1S_0552	hypothetical protein	286					no_ortholog				NO_ORTHOLOG
A1S_0553	hypothetical protein	355					no_ortholog				NO_ORTHOLOG
A1S_3503	hypothetical protein	96	A0ABX6CBZ8	92.2	93.8	02_blast_hits	strong_ortholog	DUF3298 domain-containing protein	FQU82_00608	unreviewed	NAMED_function_unreviewed
A1S_0555	hypothetical protein	158	A0ABX6CBZ8	99.4	100.0	02_blast_hits	strong_ortholog	DUF3298 domain-containing protein	FQU82_00608	unreviewed	NAMED_function_unreviewed
A1S_0556	hypothetical protein	313	A0A7U4DFI5	99.0	100.0	02_blast_hits	strong_ortholog	DUF3298 domain-containing protein	AB57_0634	unreviewed	NAMED_function_unreviewed
A1S_0557	hypothetical protein	276	A0A0D5YME0	97.8	97.5	02_blast_hits	strong_ortholog	Hydrolase, TatD family	ABUW_3347	unreviewed	NAMED_function_unreviewed
A1S_0561	hypothetical protein	169	V5VGG0	100.0	100.0	02_blast_hits	strong_ortholog	Uncharacterized protein	ABUW_3343	unreviewed	TRULY_UNCHARACTERIZED
A1S_0564	hypothetical protein	135	A0ABX6CCX4	97.8	100.0	02_blast_hits	strong_ortholog	YjgF family translation initiation inhibitor	FQU82_00619	unreviewed	NAMED_function_unreviewed
A1S_0570	hypothetical protein	133	V5VGR1	99.2	100.0	02_blast_hits	strong_ortholog	Ribosomal silencing factor RsfS	rsfS ABUW_3310	unreviewed	NAMED_function_unreviewed
A1S_0576	hypothetical protein	272	V5VGE6	99.6	100.0	02_blast_hits	strong_ortholog	Predicted 3'-5' exonuclease PolB-like domain-containing protein	ABUW_3304	unreviewed	NAMED_function_unreviewed
A1S_0581	hypothetical protein (MazG family)	268	A0ABX6CER6	100.0	100.0	02_blast_hits	strong_ortholog	Nucleoside triphosphate pyrophosphohydrolase (EC 3.6.1.8)	mazG FQU82_00635	unreviewed	NAMED_function_unreviewed
A1S_0588	hypothetical protein	283	V5VGD7	100.0	100.0	02_blast_hits	strong_ortholog	Protein in PtsN-ptsO intergenic region	ABUW_3294	unreviewed	NAMED_function_unreviewed
A1S_0590	hypothetical protein	178	A0ABX6CC28	100.0	100.0	02_blast_hits	strong_ortholog	Ribosome-associated protein	FQU82_00643	unreviewed	NAMED_function_unreviewed
A1S_3504	hypothetical protein	57					no_ortholog				NO_ORTHOLOG
A1S_3505	hypothetical protein	63	A0ABX6CDF2	96.6	92.1	02_blast_hits	strong_ortholog	NADAR domain-containing protein	FQU82_00652	unreviewed	NAMED_function_unreviewed
A1S_0598	hypothetical protein	105	A0ABX6CDF2	97.1	100.0	02_blast_hits	strong_ortholog	NADAR domain-containing protein	FQU82_00652	unreviewed	NAMED_function_unreviewed
